antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'qty_ip_resolved=Low', 'length_url=Low'})",frozenset({'qty_hyphen_url=Low'}),0.10780370072405471,0.3333668543845535,0.1006637168141593,0.933768656716418,2.8010242903131406,1.0,0.06472553621276736,10.065221578869847,0.7206796810042977,0.2956290608387478,0.9006479894988777,0.6178647205150718
"frozenset({'qty_ip_resolved=Medium', 'length_url=Low'})",frozenset({'qty_hyphen_url=Medium'}),0.10589300080450523,0.333266291230893,0.09674175382139984,0.9135802469135802,2.7412920866954256,1.0,0.06145118617597241,7.715061487185376,0.7104390409980332,0.282525697503671,0.8703834050239279,0.6019319460277014
"frozenset({'time_domain_activation=High', 'qty_ip_resolved=Low'})",frozenset({'qty_hyphen_url=Low'}),0.10931214802896219,0.3333668543845535,0.0997586484312148,0.9126034958601655,2.7375351924082914,1.0,0.063317601496781,7.627686624041999,0.7126041867740842,0.29090909090909095,0.8688986518077366,0.6059246740235971
"frozenset({'qty_dot_url=High', 'qty_ip_resolved=High'})",frozenset({'qty_hyphen_url=High'}),0.17598551890587288,0.3333668543845535,0.1585880933226066,0.9011428571428571,2.703156733462616,1.0,0.09992035446772238,6.743398871832551,0.764625089518306,0.4521215596330275,0.8517068292998298,0.6884296487825899
"frozenset({'qty_ip_resolved=Low', 'length_url=Medium'})",frozenset({'qty_hyphen_url=Low'}),0.11122284794851167,0.3333668543845535,0.1001609010458568,0.9005424954792043,2.7013558295762317,1.0,0.06308289008956998,6.702693264097122,0.7086315390550662,0.2908029197080292,0.8508062415213768,0.6004974920834936
"frozenset({'length_url=High', 'time_domain_activation=Medium'})",frozenset({'time_domain_expiration=Medium'}),0.13565969428801286,0.333266291230893,0.12067578439259855,0.8895478131949592,2.6691802819585617,1.0,0.07546498120771573,6.0364011619431235,0.7235033934458017,0.34652035807103665,0.8343383792474622,0.6258239971225249
"frozenset({'qty_dot_url=High', 'qty_hyphen_url=Low'})",frozenset({'qty_ip_resolved=Low'}),0.06345534995977474,0.3333668543845535,0.05631536604987932,0.8874801901743264,2.662172854025189,1.0,0.03516145563991821,5.924584716666854,0.6666708211256155,0.16538688718251623,0.831211798324559,0.5282046501399535
"frozenset({'asn_ip=High', 'qty_hyphen_url=Low'})",frozenset({'qty_ip_resolved=Low'}),0.10619469026548672,0.3333668543845535,0.09402654867256637,0.8854166666666666,2.655982905982906,1.0,0.05862475882641909,5.817889270825713,0.6975697569756976,0.2721187427240978,0.8281163574194197,0.5837339743589743
"frozenset({'qty_hyphen_url=Low', 'asn_ip=Medium'})",frozenset({'qty_ip_resolved=Low'}),0.10368061142397425,0.3333668543845535,0.0914119066773934,0.8816682832201747,2.6447388863775014,1.0,0.05684822738631591,5.633596501061686,0.6938272756929008,0.26447483270293864,0.8224934995235204,0.5779382140082774
"frozenset({'length_url=High', 'qty_hyphen_url=Low'})",frozenset({'qty_ip_resolved=Low'}),0.08135559131134353,0.3333668543845535,0.07160096540627514,0.8800988875154512,2.6400311726858665,1.0,0.04447970784421724,5.5598578845659405,0.6762318345909978,0.20867526377491208,0.8201392875929472,0.5474400923248448
"frozenset({'time_domain_activation=High', 'qty_ip_resolved=Medium'})",frozenset({'qty_hyphen_url=Medium'}),0.10750201126307321,0.333266291230893,0.09452936444086886,0.8793264733395696,2.638510093810706,1.0,0.05870256784736276,5.525103369567247,0.6957979023074617,0.27301771710717393,0.8190079111445973,0.5814858075810703
"frozenset({'qty_dot_url=High', 'time_domain_activation=Medium'})",frozenset({'time_domain_expiration=Medium'}),0.14360418342719228,0.333266291230893,0.125603378921963,0.8746498599439776,2.6244774312863344,1.0,0.07774494530594175,5.318970592861926,0.7227636500933955,0.35757228743200686,0.8119936964227622,0.6257678991934734
"frozenset({'qty_ip_resolved=Low', 'qty_mx_servers=High'})",frozenset({'qty_hyphen_url=Low'}),0.09322204344328239,0.3333668543845535,0.08155671761866452,0.8748651564185544,2.62433155819792,1.0,0.050479578236677286,5.327318327461368,0.6825823041201665,0.23637423491693385,0.8122882961873745,0.5597553534732289
"frozenset({'qty_nameservers=High', 'time_domain_expiration=Medium'})",frozenset({'time_domain_activation=Medium'}),0.15406275140788414,0.333266291230893,0.13425181013676588,0.8714099216710183,2.614755661163731,1.0,0.08290788835823329,5.184954527077522,0.7300247016479045,0.3802335516946738,0.8071342776917957,0.637123186544622
"frozenset({'qty_hyphen_url=Medium', 'qty_nameservers=Low'})",frozenset({'qty_ip_resolved=Medium'}),0.062047465808527755,0.333266291230893,0.053901850362027354,0.8687196110210698,2.6066831056105966,1.0,0.03322352155174367,5.07869997914246,0.6571448802945709,0.15787923416789396,0.8030992174952515,0.5152288459450551
"frozenset({'qty_mx_servers=Low', 'qty_hyphen_url=Low'})",frozenset({'qty_ip_resolved=Low'}),0.1915728077232502,0.3333668543845535,0.16592920353982302,0.8661417322834647,2.598163917293144,1.0,0.10206517924350621,4.98014173489187,0.7608759569824379,0.4621848739495798,0.7992025020103746,0.6819396444222754
"frozenset({'asn_ip=Low', 'time_domain_expiration=Medium'})",frozenset({'time_domain_activation=Medium'}),0.1334473049074819,0.333266291230893,0.11524537409493162,0.8636021100226073,2.5913275142018124,1.0,0.07077188571365697,4.888152660423231,0.7086671280299242,0.3278969957081545,0.795423737867995,0.6047038914627219
"frozenset({'qty_dot_url=Medium', 'time_domain_expiration=Medium'})",frozenset({'time_domain_activation=Medium'}),0.10156878519710379,0.333266291230893,0.08769106999195495,0.8633663366336632,2.590620051745669,1.0,0.053841617644488936,4.879717723599981,0.6834046000948854,0.2526071842410197,0.795070113346176,0.5632462340983645
"frozenset({'qty_nameservers=High', 'time_domain_activation=Medium'})",frozenset({'time_domain_expiration=Medium'}),0.15557119871279163,0.333266291230893,0.13425181013676588,0.8629605688429217,2.5894025034924604,1.0,0.08240517371940953,4.865269091819849,0.7268943474105029,0.3786159954622801,0.7944615228618421,0.6328985101305737
