antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'time_domain_activation=High', 'length_url=Low'})",frozenset({'phishing=Legitimate'}),0.1589903459372486,0.6527554304102977,0.1582864038616251,0.9955724225173941,1.5251844352970214,1.0,0.05450459216827426,78.42766636018901,0.4094383334591876,0.24222837796244995,0.987249397484207,0.6190310117516873
"frozenset({'qty_dot_url=Medium', 'length_url=Low'})",frozenset({'phishing=Legitimate'}),0.11967015285599357,0.6527554304102977,0.11745776347546259,0.9815126050420168,1.5036452541269163,1.0,0.03934242134068239,18.782774445988395,0.3804818384394139,0.1793336404114847,0.9467597290871169,0.5807270312222871
"frozenset({'qty_dot_url=High', 'length_url=Low'})",frozenset({'phishing=Legitimate'}),0.062047465808527755,0.6527554304102977,0.06084070796460177,0.9805510534846029,1.502172188545816,1.0,0.020338887714888003,17.854158286403862,0.35641180364125474,0.09303398431493155,0.943990638821573,0.5368785154959603
"frozenset({'time_domain_activation=High', 'length_url=Medium'})",frozenset({'phishing=Legitimate'}),0.13555913113435236,0.6527554304102977,0.13254223652453742,0.9777448071216619,1.4978731107714998,1.0,0.04405527753488725,15.602855993564079,0.3845106345118703,0.20211623984051527,0.9359091694230541,0.5903975922836779
"frozenset({'qty_dot_url=Medium', 'time_domain_activation=High'})",frozenset({'phishing=Legitimate'}),0.13998390989541432,0.6527554304102977,0.13616251005631536,0.9727011494252873,1.4901463919095757,1.0,0.044787252702017846,12.720116864970118,0.38246376671415316,0.20738244754173685,0.9213843700796573,0.590648833840667
"frozenset({'qty_hyphen_url=Medium', 'time_domain_activation=High'})",frozenset({'phishing=Legitimate'}),0.124597747385358,0.6527554304102977,0.11987127916331457,0.9620661824051655,1.4738539697792274,1.0,0.03853942294063166,9.1539579089711,0.36726742325825246,0.18231875191189964,0.8907576362111108,0.5728525335073124
"frozenset({'time_domain_activation=High', 'qty_mx_servers=High'})",frozenset({'phishing=Legitimate'}),0.13847546259050683,0.6527554304102977,0.13314561544650041,0.9615105301379813,1.4730027286538414,1.0,0.04275500526196904,9.021807025000413,0.37272836433768725,0.20232273838630807,0.8891574606695876,0.5827426321927004
"frozenset({'time_domain_activation=High', 'qty_redirects=High'})",frozenset({'phishing=Legitimate'}),0.13927996781979082,0.6527554304102977,0.1338495575221239,0.9610108303249099,1.4722372048607153,1.0,0.04293380218038394,8.906180164476648,0.3726666250586266,0.20336134453781515,0.8877184178253413,0.5830319904205046
"frozenset({'time_domain_activation=High', 'time_domain_expiration=High'})",frozenset({'phishing=Legitimate'}),0.17759452936444087,0.6527554304102977,0.17045454545454544,0.9597961494903736,1.4703763534944192,1.0,0.054528752000745584,8.6370973224706,0.38898332168253397,0.25830539469673874,0.8842203621582031,0.6104634729889089
"frozenset({'time_domain_activation=High', 'qty_hyphen_url=Low'})",frozenset({'phishing=Legitimate'}),0.11987127916331457,0.6527554304102977,0.11454143201930812,0.9555369127516777,1.4638513419199943,1.0,0.03629480359522577,7.809726923602341,0.360027478480273,0.1740525672371638,0.8719545497835747,0.565505322806281
"frozenset({'asn_ip=Low', 'time_domain_activation=High'})",frozenset({'phishing=Legitimate'}),0.11162510056315365,0.6527554304102977,0.10609412711182623,0.9504504504504505,1.4560590478014603,1.0,0.0332302365491321,7.008026768083091,0.35257036847080486,0.1611671249618087,0.8573064811118679,0.5564915940435892
"frozenset({'qty_mx_servers=High', 'length_url=Low'})",frozenset({'phishing=Legitimate'}),0.125402252614642,0.6527554304102977,0.11906677393403058,0.9494787489975942,1.4545704329120437,1.0,0.037209772554139056,6.873237750450137,0.35732061614909144,0.18065303631370155,0.854508161028693,0.5659425789357098
"frozenset({'qty_nameservers=High', 'time_domain_activation=High'})",frozenset({'phishing=Legitimate'}),0.10398230088495575,0.6527554304102977,0.09865245374094932,0.9487427466150871,1.4534429013003274,1.0,0.030777442171736946,6.774544999165138,0.3481833855602119,0.1499083129584352,0.8523886105822258,0.5499375418486003
"frozenset({'time_domain_activation=High', 'qty_ip_resolved=High'})",frozenset({'phishing=Legitimate'}),0.1165526950925181,0.6527554304102977,0.11041834271922768,0.9473684210526316,1.4513374794249527,1.0,0.034337938068630836,6.597646822204351,0.3520078416492759,0.1675824175824176,0.8484308076882041,0.5582628578841959
"frozenset({'time_domain_activation=High', 'asn_ip=Medium'})",frozenset({'phishing=Legitimate'}),0.11303298471440064,0.6527554304102977,0.10689863234111022,0.9457295373665481,1.4488267631448086,1.0,0.033115737753301025,6.398408134734846,0.34926479842485747,0.16224053724053725,0.8437111264329435,0.554747375369455
"frozenset({'domain_spf=Low', 'time_domain_activation=High'})",frozenset({'phishing=Legitimate'}),0.2830852775543041,0.6527554304102977,0.2674979887369268,0.9449378330373002,1.4476138979699449,1.0,0.08271253654414842,6.306409441258141,0.43130383470248057,0.40024074631357215,0.8414311647040003,0.677368007567795
