antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'time_domain_activation=Low', 'length_url=High'})",frozenset({'phishing=Phishing'}),0.1588897827835881,0.34724456958970235,0.1497385358004827,0.9424050632911394,2.7139519111981145,1.0,0.09456492156559437,11.333555824706293,0.7508333871313272,0.42014672686230253,0.9117664380476183,0.6868121464732557
"frozenset({'domain_spf=High', 'length_url=High'})",frozenset({'phishing=Phishing'}),0.06043845534995977,0.34724456958970235,0.055913113435237326,0.9251247920133111,2.664187932748441,1.0,0.0349261880205741,8.717911415035303,0.6648325565171324,0.15894797026872495,0.8852936268341345,0.5430720977153147
"frozenset({'qty_nameservers=Low', 'length_url=High'})",frozenset({'phishing=Phishing'}),0.10941271118262269,0.34724456958970235,0.09563555913113435,0.8740808823529411,2.517190933714928,1.0,0.05764258932888212,5.18392633785696,0.6767801116496969,0.2649025069637883,0.8070960243595203,0.5747467834875044
"frozenset({'length_url=High', 'qty_dot_url=Low'})",frozenset({'phishing=Phishing'}),0.08256234915526951,0.34724456958970235,0.07079646017699115,0.8574908647990255,2.4694147580543033,1.0,0.04212713278025486,4.580446225357726,0.6485953023327653,0.19719887955182072,0.7816806593069651,0.5306857741313401
"frozenset({'time_domain_expiration=Low', 'length_url=High'})",frozenset({'phishing=Phishing'}),0.11343523732904263,0.34724456958970235,0.09704344328238133,0.8554964539007093,2.4636712243233863,1.0,0.05765367311975219,4.517227763820957,0.670116509784377,0.2668694690265487,0.778625286949415,0.5674817919662828
"frozenset({'length_url=High', 'qty_nameservers=Medium'})",frozenset({'phishing=Phishing'}),0.1081053901850362,0.34724456958970235,0.0914119066773934,0.8455813953488373,2.4351176934111893,1.0,0.05387289699226368,4.227181251151025,0.6607756389575139,0.25117435755733625,0.7634357410797779,0.5544153718707696
"frozenset({'qty_redirects=Low', 'length_url=High'})",frozenset({'phishing=Phishing'}),0.12339098954143202,0.34724456958970235,0.10418342719227675,0.8443357783211084,2.4315305472415587,1.0,0.06133657613771472,4.193355566038927,0.6716066063605354,0.2843029637760702,0.7615274964759055,0.572182369322732
"frozenset({'length_url=High', 'asn_ip=Medium'})",frozenset({'phishing=Phishing'}),0.12962590506838295,0.34724456958970235,0.10931214802896219,0.843289371605896,2.4285170898491253,1.0,0.06430025641581594,4.165355197024126,0.6758313283875346,0.2974008207934336,0.7599244355644785,0.5790440486758122
"frozenset({'length_url=High', 'qty_mx_servers=Medium'})",frozenset({'phishing=Phishing'}),0.12771520514883347,0.34724456958970235,0.10750201126307321,0.8417322834645669,2.424032964602274,1.0,0.063153599821106,4.12437510756755,0.6734776984776284,0.29255610290093054,0.7575390273874061,0.5756590754131407
"frozenset({'qty_ip_resolved=Low', 'length_url=High'})",frozenset({'phishing=Phishing'}),0.11434030571198713,0.34724456958970235,0.09603781174577634,0.8399296394019349,2.418841683814897,1.0,0.05633376150206239,4.07792815591488,0.6623074101574367,0.2627235213204952,0.7547774355589032,0.558250368499114
"frozenset({'length_url=High', 'qty_mx_servers=Low'})",frozenset({'phishing=Phishing'}),0.11182622687047465,0.34724456958970235,0.09332260659694289,0.8345323741007196,2.403298560109341,1.0,0.05449155657846451,3.9449132533491933,0.6574222654297851,0.25515534781413257,0.7465090013954022,0.5516420920604959
"frozenset({'qty_hyphen_url=High', 'length_url=High'})",frozenset({'phishing=Phishing'}),0.1674376508447305,0.34724456958970235,0.13917940466613032,0.8312312312312311,2.393791880499091,1.0,0.08103758966544103,3.867750148160657,0.699350313174848,0.3706480985538297,0.7414517583366758,0.6160210601565944
"frozenset({'qty_redirects=Medium', 'length_url=High'})",frozenset({'phishing=Phishing'}),0.125804505229284,0.34724456958970235,0.10378117457763475,0.8249400479616307,2.3756744387287734,1.0,0.06009624330684657,3.7287536230286857,0.6623997790256261,0.2810457516339869,0.7318138710415122,0.5619052976558805
"frozenset({'length_url=High', 'asn_ip=High'})",frozenset({'phishing=Phishing'}),0.12238535800482703,0.34724456958970235,0.1001609010458568,0.818405916187346,2.3568573502945176,1.0,0.057663250081389006,3.594585333978881,0.6559897203112899,0.27109417528579205,0.721803794572018,0.5534253733847243
frozenset({'length_url=High'}),"frozenset({'phishing=Phishing', 'url_shortened=Low'})",0.3333668543845535,0.3430209171359614,0.2684030571198713,0.8051282051282052,2.347169414187884,1.0,0.15405125298615124,3.371340030486514,0.8609756589699957,0.6578752772984965,0.7033820406849643,0.7937983447218275
"frozenset({'qty_ip_resolved=Medium', 'length_url=High'})",frozenset({'phishing=Phishing'}),0.11946902654867257,0.34724456958970235,0.09734513274336283,0.8148148148148148,2.346515643938175,1.0,0.055860162040168304,3.5248793242156062,0.6516933842767556,0.2635447862782466,0.7163023445568508,0.54757537728867
frozenset({'length_url=High'}),"frozenset({'domain_in_ip=Low', 'phishing=Phishing'})",0.3333668543845535,0.34513274336283184,0.2673974255832663,0.8021116138763198,2.324066983795491,1.0,0.15234160858328766,3.3092758471832515,0.8546226760361141,0.650440313111546,0.6978190860543803,0.7884392568216099
"frozenset({'qty_dot_url=High', 'length_url=High'})",frozenset({'phishing=Phishing'}),0.168141592920354,0.34724456958970235,0.13565969428801286,0.8068181818181817,2.3234868230524177,1.0,0.0772734392242576,3.378969286829773,0.684746778543602,0.35725635593220334,0.7040517639808964,0.5987464786878339
frozenset({'length_url=High'}),frozenset({'phishing=Phishing'}),0.3333668543845535,0.34724456958970235,0.26870474658085275,0.8060331825037707,2.3212261705234565,1.0,0.1529449167146155,3.365294326298811,0.8538327440758849,0.65234375,0.7028491706697728,0.7899265246431393
"frozenset({'length_url=High', 'url_shortened=Low'})",frozenset({'phishing=Phishing'}),0.333065164923572,0.34724456958970235,0.2684030571198713,0.8058574879227053,2.3207202026942895,1.0,0.1527479872806623,3.3622488110713924,0.8533056796051346,0.651611328125,0.7025800123098724,0.7894042724872721
